"addon"
{
  "addon_game_name"                "Castle Fight"
  "DOTA_GameMode_15"               "Castle Fight"
  "addonname"                      "Castle Fight"

  "DOTA_GoodGuys"                  "Western Forces"
  "DOTA_BadGuys"                   "Eastern Forces"

  "human"           "Human"
  "naga"            "Naga"
  "nature"          "Nature"
  "night_elves"     "Night Elves"
  "undead"          "Undead"

  "human_description"           "Humans use many cheap units to overrun the enemy. They can use artillery to demolish the enemy base without having to attack it directly. The race has a basic defense tower."
  "naga_description"            "The Nagas have above average powerful units with a high hitpoint regeneration. In addition many expensive special buildings are available to them. But note that this race has no towers."
  "nature_description"          "The forces of nature itself are called upon to fight for their masters. Specializing in strong units and powerful spells, the race of nature is a bit more expensive, but generally better than other races."
  "night_elves_description"     "Night elves separated from the Union of Elves and fight independently for their goddess Elune. These seemingly fragile creatures know how to dodge enemy strikes and counteract negative spells. The night elves have a tower that burns enemy mana."
  "undead_description"          "The undead are gaining warriors in their ranks from among the resurrected dead. They bring death and disease to their enemies. The builder of the undead can construct a tower of spirits to protect your base."
  "random_description"          "Choose a random race."
}
