"lang"
{
  "Language"		"English"
  "Tokens"
  {		
    "addon_game_name"     "Castle Fight"

    "error_not_enough_lumber"                                      "Not enough Lumber"
    "error_not_enough_gold"                                        "Not enough Gold"
    "error_not_enough_cheese"                                      "Not enough Cheese"
    "error_out_of_stock"                                           "Out of stock"
    "error_game_paused"                                            "Game is Paused"

    "dota_hud_error_target_needs_mana"     "Target has no mana"

    "npc_dota_hero_kunkka"         "Human Builder"
    "npc_dota_hero_slark"          "Naga Builder"
    "npc_dota_hero_treant"         "Nature Builder"
    "npc_dota_hero_vengefulspirit" "Night Elf Builder"
    "npc_dota_hero_abaddon"        "Undead Builder"
    "npc_dota_hero_juggernaut"     "Orc Builder"
    "npc_dota_hero_tusk"           "North Builder"
    "npc_dota_hero_invoker"        "High Elf Builder"
    "npc_dota_hero_grimstroke"     "Corrupted Builder"
    "npc_dota_hero_chaos_knight"   "Chaos Builder"
    "npc_dota_hero_tinker"         "Mech Builder"
    "npc_dota_hero_wisp"           "Elemental Builder"

    // Items

    "DOTA_Tooltip_Ability_item_scroll_of_stone"               "Scroll of Stone"
    "DOTA_Tooltip_Ability_item_scroll_of_stone_Description"   "When used, the scroll heals 400 Hp, 200 mana, and gives 8 Armor for 30 seconds in a huge area (targetable, consumed on use)"
    "DOTA_Tooltip_Ability_item_orb_of_lightning"              "Orb of Lightning"
    "DOTA_Tooltip_Ability_item_orb_of_lightning_Description"  "Creates a Chain Lightning that bounces between up to 10 enemies. 1000 initial damage."
    "DOTA_Tooltip_Ability_item_blast_staff"                   "Blast Staff"
    "DOTA_Tooltip_Ability_item_blast_staff_Description"       "<h1>Lumber: <font color='#22a543'>300</font></h1>Deals 40 magic damage every second to an enemy near the hero."
    "DOTA_Tooltip_Ability_item_rune_of_repair"                "Rune of Repair"
    "DOTA_Tooltip_Ability_item_rune_of_repair_Description"    "Heals nearby buildings."
    "DOTA_Tooltip_Ability_item_bassline"                      "Bassline Generator"
    "DOTA_Tooltip_Ability_item_bassline_Description"          "Increases the movement speed of all allies by 15%% and their attack speed by 30%%."
    "DOTA_Tooltip_Ability_item_drums"                         "Bass Drums"
    "DOTA_Tooltip_Ability_item_drums_Description"             "Increases all allied unit's damage by 33%%."
    "DOTA_Tooltip_Ability_item_double_damage"                 "Double Damage"
    "DOTA_Tooltip_Ability_item_double_damage_Description"     "Doubles the damage of all friendly units for 30 seconds"
    "DOTA_Tooltip_Ability_item_quad_damage"                   "Quad Damage"
    "DOTA_Tooltip_Ability_item_quad_damage_Description"       "Quadruples the damage of all friendly units for 30 seconds."
    "DOTA_Tooltip_Ability_item_custom_cheese"                 "Cheese"
    "DOTA_Tooltip_Ability_item_custom_cheese_Description"     "Can be used to purchase an additional legendary building."

    "DOTA_Tooltip_Ability_scroll_of_stone"                "Scroll of Stone"
    "DOTA_Tooltip_Ability_scroll_of_stone_Description"    "When used, the scroll heals 400 Hp, 200 mana, and gives 8 armor for 30 seconds a huge area. Consumed on use."
    "DOTA_Tooltip_Ability_orb_of_lightning"               "Orb of Lightning"
    "DOTA_Tooltip_Ability_orb_of_lightning_Description"   "Creates a Chain Lightning that bounces between up to 10 enemies. 1000 initial damage."

    "DOTA_Tooltip_Ability_item_custom_blink"                "Blink Dagger"
    "DOTA_Tooltip_Ability_item_custom_blink_Description"    "Can be used to teleport a short distance"

    // Item Modifiers

    "DOTA_Tooltip_modifier_scroll_of_stone"                    "Scroll of Stone"
    "DOTA_Tooltip_modifier_scroll_of_stone_Description"        "Armor increaed."

    "DOTA_Tooltip_modifier_blast_staff"                        "Blast Staff"
    "DOTA_Tooltip_modifier_blast_staff_Description"            "Periodically shooting a blast that deals magic damage to a nearby enemy."
    "DOTA_Tooltip_modifier_rune_of_repair_aura"                "Rune of Repair Aura"
    "DOTA_Tooltip_modifier_rune_of_repair_aura_Description"    "Healing nearby buildings"
    "DOTA_Tooltip_modifier_rune_of_repair_buff"                "Rune of Repair Heal"
    "DOTA_Tooltip_modifier_rune_of_repair_buff_Description"    "Regaining Health"
    "DOTA_Tooltip_modifier_quad_damage_aura"                   "Quad Damage Aura"
    "DOTA_Tooltip_modifier_quad_damage_aura_Description"       "All allies deal Quadruple Damage."
    "DOTA_Tooltip_modifier_custom_quad_damage"                 "Quad Damage"
    "DOTA_Tooltip_modifier_custom_quad_damage_Description"     "Dealing Quadruple Damage."
    "DOTA_Tooltip_modifier_double_damage_aura"                 "Double Damage Aura"
    "DOTA_Tooltip_modifier_double_damage_aura_Description"     "All allies deal Double Damage."
    "DOTA_Tooltip_modifier_custom_double_damage"               "Double Damage"
    "DOTA_Tooltip_modifier_custom_double_damage_Description"   "Dealing Double Damage."
    "DOTA_Tooltip_modifier_drums_aura"                  "Bass Drums Aura"
    "DOTA_Tooltip_modifier_drums_aura_Description"      "All allies have 33%% increased damage."
    "DOTA_Tooltip_modifier_drums_buff"                  "Bass Drums"
    "DOTA_Tooltip_modifier_drums_buff_Description"      "Damage increased by 33%%"
    "DOTA_Tooltip_modifier_bassline_aura"               "Bassline Generator"
    "DOTA_Tooltip_modifier_bassline_aura_Description"   "Increasing the movement speed of all allies by 15%%, and their attack speed by 30%%."
    "DOTA_Tooltip_modifier_bassline_buff"               "Bassline"
    "DOTA_Tooltip_modifier_bassline_buff_Description"   "Movement Speed increased by 15%% and attack speed by 30%%."

    // Generic Modifiers

    "DOTA_Tooltip_modifier_train_unit"                             "Training Unit..."
    "DOTA_Tooltip_income_modifier"                    "Income"
    "DOTA_Tooltip_income_modifier_Description"        "Periodically gaining income. Income is increased by a percentage of each building produced.<br><br><font color='#62bc25'>Unit Trainer: 2%%</font><br><font color='#995a0a'>Siege: 1.8%%</font><br><font color='#a3098c'>Tower: 0.8%%</font><br><font color='#FFBF00'>Support: 1.2%%</font><br><font color='#C40000'>Killing: 0.9%%</font>"
    "DOTA_Tooltip_income_modifier_enemy"              "Enemy Income"
    "DOTA_Tooltip_income_modifier_enemy_Description"  "The income the enemy team is earning every 10 seconds."

    "Dota_Tooltip_modifier_repairing"                       "Repairing"
    "Dota_Tooltip_modifier_repairing_Description"           "This building is being repaired."
    "Dota_Tooltip_modifier_builder_repairing"               "Repairing"
    "Dota_Tooltip_modifier_builder_repairing_Description"   "Currently repairing a building."

    "DOTA_Tooltip_modifier_legendary_spell_resist"          "Legendary Spell Resistance"
    "DOTA_Tooltip_modifier_hexxed"          "Hexxed"

    // Castle Fight Armor/Weapon
    //          Unarmored Light Medium  Heavy Fortified  Divine  Hero
    //  Normal  105%      70%   175%    100%  50%        25%     60%
    //  Pierce  105%      175%  100%    70%   45%        25%     60%
    //  Magic   105%      100%  70%     175%  40%        25%     60%
    //  Chaos   100%      100%  100%    100%  100%       100%    100%
    //  Siege   100%      70%   70%     70%   160%       20%     40%
    //  Hero    110%      110%  110%    110%  60%        40%     60%
    //  Spells  100%      100%  100%    100%  25%        25%     60%


    "DOTA_Tooltip_modifier_attack_normal"                          "Attack Type: Normal"
    "DOTA_Tooltip_modifier_attack_normal_Description"              "Damage Against:<br><font color='#00C400'>Medium: 175%%</font><br><font color='#E5DE23'>Unarmored: 105%%</font><br><font color='#E5DE23'>Heavy: 100%%</font><br><font color='#C40000'>Light: 70%%</font><br><font color='#C40000'>Fortified: 50%%</font><br><font color='#C40000'>Divine: 25%%</font>"

    "DOTA_Tooltip_modifier_attack_pierce"                          "Attack Type: Piercing"
    "DOTA_Tooltip_modifier_attack_pierce_Description"              "Damage Against:<br><font color='#00C400'>Light: 175%%</font><br><font color='#E5DE23'>Unarmored: 105%%</font><br><font color='#E5DE23'>Medium: 100%%</font><br><font color='#C40000'>Heavy: 70%%</font><br><font color='#C40000'>Fortified: 45%%</font><br><font color='#C40000'>Divine: 25%%</font>"

    "DOTA_Tooltip_modifier_attack_siege"                           "Attack Type: Siege"
    "DOTA_Tooltip_modifier_attack_siege_Description"               "Damage Against:<br><font color='#00C400'>Fortified: 160%%</font><br><font color='#E5DE23'>Unarmored: 100%%</font><br><font color='#C40000'>Light: 70%%</font><br><font color='#C40000'>Medium: 70%%</font><br><font color='#C40000'>Heavy: 70%%</font><br><font color='#C40000'>Divine: 20%%</font>"

    "DOTA_Tooltip_modifier_attack_magic"                           "Attack Type: Magic"
    "DOTA_Tooltip_modifier_attack_magic_Description"               "Damage Against:<br><font color='#00C400'>Heavy: 175%%</font><br><font color='#E5DE23'>Unarmored: 105%%</font><br><font color='#E5DE23'>Light: 100%%</font><br><font color='#C40000'>Medium: 70%%</font><br><font color='#C40000'>Fortified: 40%%</font><br><font color='#C40000'>Divine: 25%%</font>"

    "DOTA_Tooltip_modifier_attack_hero"                            "Attack Type: Hero"
